"","playerid","pitcher_hand","pitch_type","spin_rate","ab_result","action_result","adj_h"
"1",2795,"R","CU",3000.0239,"\N","F",0
"2",959,"L","CU",3051.5959,"\N","C",0
"3",2795,"R","CU",3146.4561,"\N","B",0
"4",3646,"R","CU",3012.0669,"\N","B",0
"5",2795,"R","CU",3026.2561,"HB","B",0
"6",2795,"L","CU",3038.6331,"\N","B",0
"7",7291,"L","CU",3027.7639,"HB","B",0
"8",2795,"R","CU",3260.9561,"\N","F",0
"9",476,"R","CU",3024.533,"\N","B",0
"10",2795,"R","CU",3267.303,"BB","B",0
"11",2795,"R","CU",3004.6699,"\N","B",0
"12",7291,"L","CU",3286.313,"\N","B",0
"13",2795,"R","CU",3318.585,"K","S",0
"14",8247,"L","CU",3067.002,"\N","B",0
"15",2795,"R","CU",3101.793,"\N","S",0
"16",2795,"R","CU",3392.3259,"\N","C",0
"17",3646,"R","CU",3012.886,"\N","F",0
"18",7291,"L","CU",3154.906,"\N","B",0
"19",1862,"R","KC",3016.4041,"\N","B",0
"20",2795,"R","CU",3161.01,"BB","B",0
"21",2795,"L","CU",3047.3301,"\N","F",0
"22",959,"L","CU",3027.9319,"\N","B",0
"23",2795,"R","CU",3338.426,"K","S",0
"24",959,"L","CU",3004.783,"\N","F",0
"25",1862,"R","KC",3054.197,"\N","C",0
"26",2795,"R","CU",3165.885,"\N","C",0
"27",8247,"L","CU",3083.7649,"\N","B",0
"28",959,"L","CU",3041.5459,"\N","C",0
"29",2795,"R","CU",3304.303,"O","X",0.21
"30",2795,"R","CU",3337.501,"\N","B",0
"31",8247,"L","CU",3001.46,"\N","C",0
"32",1862,"R","KC",3024.95,"\N","F",0
"33",7291,"L","CU",3007.769,"\N","C",0
"34",959,"L","CU",3043.095,"\N","B",0
"35",3646,"R","CU",3054.0569,"\N","B",0
"36",8247,"L","CU",3045.752,"\N","F",0
"37",8247,"L","CU",3012.249,"\N","B",0
"38",7291,"L","CU",3022.7581,"HR","X",0.47
"39",959,"L","CU",3002.7241,"\N","C",0
"40",8247,"L","CU",3000.354,"\N","B",0
"41",1862,"R","KC",3131.3521,"1B","X",1
"42",959,"L","CU",3000.261,"\N","B",0
"43",959,"L","CU",3033.855,"\N","B",0
"44",8247,"L","CU",3121.1741,"O","X",0.65
"45",959,"L","CU",3006.3081,"\N","C",0
"46",2795,"R","CU",3265.2771,"\N","F",0
"47",4878,"R","CU",3095.176,"\N","C",0
"48",4878,"R","CU",3078.6431,"\N","B",0
"49",4878,"R","CU",3093.916,"\N","B",0
"50",7291,"L","CU",3064.8669,"\N","B",0
"51",7291,"L","CU",3105.0481,"\N","B",0
"52",7291,"L","CU",3045.366,"K","C",0
"53",8247,"L","CU",3000.281,"K","S",0
"54",1862,"R","KC",3035.5,"\N","C",0
"55",959,"L","CU",3015.324,"1B","X",0.96
"56",8247,"L","CU",3050.2629,"\N","B",0
"57",4878,"R","CU",3033,"\N","F",0
"58",11504,"L","CU",3046.2871,"\N","F",0
"59",7291,"L","CU",3065.2891,"\N","B",0
"60",8247,"L","CU",3033.8799,"\N","C",0
"61",11504,"L","CU",3094.48,"\N","C",0
"62",959,"L","CU",3079.8459,"\N","B",0
"63",8247,"L","CU",3047.636,"O","X",0.17
"64",959,"L","CU",3006.646,"O","X",0.1
"65",959,"L","CU",3042.4771,"\N","C",0
"66",959,"L","CU",3005.0139,"\N","C",0
"67",3153,"R","CU",3005.9419,"\N","B",0
"68",7291,"L","CU",3111.198,"O","X",0.12
"69",8247,"L","CU",3055.4441,"O","X",0.09
"70",959,"L","CU",3047.2351,"O","X",0.05
"71",3153,"R","CU",3069.1831,"K","S",0
"72",7291,"L","CU",3056.3269,"\N","C",0
"73",959,"L","CU",3010.5591,"1B","X",0.85
"74",476,"R","CU",3107.364,"\N","B",0
"75",959,"L","CU",3026.918,"\N","B",0
"76",959,"L","CU",3073.9319,"\N","B",0
"77",959,"L","CU",3055.6909,"\N","S",0
"78",7291,"L","CU",3108.834,"\N","B",0
"79",1862,"R","KC",3035.2781,"1B","X",0.96
"80",959,"L","CU",3058.7849,"\N","F",0
"81",7291,"L","CU",3068.5449,"\N","B",0
"82",11504,"L","CU",3005.29,"\N","B",0
"83",959,"L","CU",3014.8169,"\N","F",0
"84",959,"L","CU",3087.104,"\N","F",0
"85",4878,"R","CU",3083.335,"\N","C",0
"86",8247,"L","CU",3003.04,"\N","B",0
"87",8247,"L","CU",3080.561,"\N","B",0
"88",8247,"L","CU",3030.5129,"\N","B",0
