,ID,NElive,NEdir,USdir,sad_18,nerve_18,rest_18,hope_18,effort_18,worth_18,ohom,ohom_ot,home,home_ot,live10m,income_18,fs5,fina,Marr10m,resi,rurb,adults,kids_18,empl1_13,empl2_13,empl3_13,empl4_13,empl5_13,empl6_13,empl7_13,empl8_13,empl9_13,empl_ot_13,born1,hisp1,race_1,race_2,race_3,race_4,race_5,race_6,race_ot,sexr_18,sexr_18_ot,sexorien,lgbfriend,degr,jsat,whrs,part,part_ot,poli,poli_ot,vote16,vote16_ot,relgaffil,relgaffil_ot,ratt,relginflu,IMG7_A,IMG7_B,IMG7_C,IMG7_D,IMG7_E,IMG7_F,EMPL,racecat,agyr,scwell,smoke,rzipcod,Comments7,Pwate
1,830357,3,1,1,5,5,5,5,5,5,1,,1,,45,8,5,1,1,1,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,1,THERE ARE ONLY 2,1,1,3,2,40,2,,5,,2,,5,,8,6,0,1,0,0,3,0,1,1,73,2,2,68507,,2.609935871
2,860359,5,2,2,5,5,4,5,5,5,3,,4,,61,4,3,4,3,2,3,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,40 HOURS @ ONE JOB & 10 70 15 A WEEK AT PART TIME JOB,1,2,1,NA,NA,1,NA,NA,,NA,REALLY? AGAIN?,1,1,2,NA,55,1,,2,,1,,5,,5,1,2,1,8,14,2,3,1,4,57,2,2,68510,,0.466651498
3,840389,2,1,1,5,5,5,5,5,5,1,,1,,3,NA,5,2,1,1,3,2,0,NA,NA,NA,NA,1,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,3,N.O.Y.B.,1,1,3,NA,NA,4,NONE OF YOUR BUSINESS N.O.Y.B.,6,MODERATE,3,N.O.Y.B.,6,CHRISTIAN,2,1,12,0,0,5,15,52,5,1,49,2,2,68526,,0.617928862
4,820489,5,2,2,5,4,4,5,5,5,5,I RENT WHERE I LIVE IN NE BUT OWN A HOME IN ANOTHER STATE,4,,2,6,4,4,6,2,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,2,2,1,NA,NA,NA,NA,NA,,3,"I'M A BUTCH LESBIAN, GENDER QUEER IS HOW I USUALLY ID",2,1,6,2,50,1,,1,,1,,1,,5,3,6,1,6,4,2,12,1,1,83,1,2,68845,,1.564837734
5,840282,2,3,2,4,2,3,4,2,4,5,OWNED BY FAMILY,1,,0,2,2,4,2,2,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,2,2,1,NA,NA,NA,NA,NA,,3,GENDER QUEER,4,1,5,4,50,1,,1,,1,,3,,5,3,10,3,2,1,4,2,1,1,92,2,2,68319,,0.649474609
6,850432,2,1,2,2,2,2,2,2,2,2,,1,,32,6,3,3,1,1,3,2,0,NA,NA,NA,NA,1,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,NA,FEMALE,1,1,6,2,0,1,,2,,1,,1,,NA,1,6,2,0,8,10,20,5,1,47,2,2,68784,,0.747301804
7,860051,1,1,1,5,5,5,5,5,5,1,,1,,70,NA,3,NA,4,1,3,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,2,ARE YOU KIDDING!,1,2,2,NA,NA,2,,5,,2,,1,LUTHERAN - CHRISTIAN,2,1,NA,NA,NA,NA,100,48,5,1,48,2,2,NA,,0.408487033
8,830330,1,1,3,1,NA,NA,1,1,1,3,,4,HUNTING PARK APT.,65,1,2,5,4,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,,2,2,1,NA,NA,NA,NA,NA,,2,,1,2,2,NA,NA,2,,3,,4,,5,,2,2,NA,NA,NA,NA,NA,NA,5,1,34,4,2,68504,,0.308964431
9,850276,4,3,3,4,2,2,4,1,4,1,,1,,10,NA,3,4,7,1,3,2,3,NA,NA,NA,NA,NA,NA,1,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,2,,1,2,3,3,NA,4,A MOTHER,6,I DONT CARE ENOUGH TO IDENTIFY (ABOUT POLITICS) WITH ANY.,4,,5,,8,4,0,0,0,0,0,0,7,1,85,3,1,68410,,1.298949218
10,830388,1,1,1,4,3,3,3,3,3,2,,1,,40,9,4,4,1,1,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,1,,1,1,6,4,70,2,,4,,2,,2,,1,1,1,1,0,15,0,NA,1,1,60,2,2,68520,,1.409771525
